,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,lap,special tag,,,,,
35,-0.497558594,0.776855469,0.34375,2.159118652,-0.358581543,1.29699707,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.502441406,0.773925781,0.337890625,1.960754395,-0.503540039,1.411437988,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.508300781,0.775390625,0.341796875,1.70135498,-0.23651123,1.480102539,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.517089844,0.771484375,0.341796875,1.396179199,0.312805176,1.770019531,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.503417969,0.774902344,0.346191406,1.159667969,0.89263916,1.800537109,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.496582031,0.776855469,0.345214844,0.9765625,1.091003418,1.945495605,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.5,0.778320313,0.346191406,0.72479248,0.923156738,2.128601074,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.498046875,0.785644531,0.334960938,0.534057617,1.029968262,2.151489258,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.490234375,0.783203125,0.335449219,0.350952148,1.022338867,2.235412598,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.494628906,0.783691406,0.337402344,0.198364258,0.991821289,2.250671387,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.506835938,0.770996094,0.351074219,-0.160217285,-0.946044922,1.312255859,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.49609375,0.77734375,0.34375,-0.213623047,-0.679016113,1.312255859,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.507324219,0.774902344,0.345703125,0.007629395,-0.923156738,1.159667969,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
35,-0.512695313,0.774414063,0.347167969,0.282287598,-0.778198242,1.14440918,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:48 GMT-0500 (EST)
