accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,lap,special tag,,,,,
-0.489746094,0.651367188,0.4921875,9.437561035,-34.75952148,50.03356934,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.481445313,0.642089844,0.482910156,9.658813477,-40.55023193,51.27716064,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.376464844,0.654785156,0.501953125,8.163452148,-53.09295654,53.75671387,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.385253906,0.640625,0.476074219,9.628295898,-66.1315918,55.519104,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.336914063,0.654296875,0.46875,10.23101807,-87.4710083,59.73052979,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.328125,0.619628906,0.435058594,12.23754883,-100.3723145,58.89892578,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.370117188,0.608886719,0.42578125,13.42773438,-111.2747192,61.50817871,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.43359375,0.592773438,0.400878906,11.72637939,-116.6915894,60.53161621,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.407714844,0.592285156,0.400390625,10.26916504,-119.178772,56.74743652,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.416015625,0.579589844,0.409179688,9.078979492,-114.1738892,50.57525635,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.429199219,0.565429688,0.426269531,5.592346191,-115.9515381,47.97363281,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.455566406,0.567382813,0.404785156,2.52532959,-116.7449951,43.47991943,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.436035156,0.6015625,0.410644531,0.129699707,-112.449646,36.88812256,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.3984375,0.598632813,0.391601563,-3.58581543,-111.5646362,32.00531006,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.467773438,0.632324219,0.389648438,-5.340576172,-110.3363037,28.37371826,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.473632813,0.661621094,0.396484375,-8.21685791,-114.4332886,24.25384521,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.56640625,0.662109375,0.361816406,-7.125854492,-110.6338501,19.21844482,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.529785156,0.674316406,0.323730469,-8.613586426,-109.0316772,17.28057861,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.616699219,0.672363281,0.303222656,-8.758544922,-102.7526855,15.70892334,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.629394531,0.645996094,0.301269531,-8.583068848,-97.65625,12.79449463,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.678710938,0.688476563,0.339355469,-10.79559326,-97.0993042,12.51220703,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.700683594,0.681152344,0.287597656,-8.949279785,-84.64813232,9.803771973,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.687988281,0.687011719,0.307128906,-10.92529297,-75.29449463,6.652832031,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.625488281,0.686035156,0.295898438,-11.97052002,-69.30541992,6.126403809,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.682617188,0.712890625,0.305175781,-11.87896729,-64.60571289,7.621765137,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.672851563,0.729492188,0.314941406,-11.41357422,-58.95233154,6.019592285,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.687988281,0.744628906,0.310546875,-10.51330566,-51.33056641,5.294799805,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.708007813,0.73828125,0.3046875,-9.475708008,-42.17529297,3.700256348,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.712890625,0.743652344,0.304199219,-9.017944336,-30.28869629,2.899169922,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.694335938,0.751464844,0.282714844,-8.06427002,-17.03643799,0.030517578,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.690429688,0.776367188,0.286621094,-7.705688477,-5.722045898,-2.433776855,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.677246094,0.78515625,0.270507813,-6.256103516,4.745483398,-4.455566406,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.6640625,0.796875,0.273925781,-5.027770996,13.70239258,-6.729125977,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.651855469,0.799316406,0.271484375,-3.730773926,22.52960205,-8.918762207,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.642089844,0.805175781,0.278808594,-2.349853516,29.13665771,-11.52801514,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.629882813,0.812988281,0.270996094,-0.846862793,34.69848633,-14.10675049,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.608886719,0.821289063,0.28125,1.54876709,36.1328125,-14.82391357,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.577148438,0.831542969,0.291015625,3.99017334,31.75354004,-14.05334473,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.559082031,0.811523438,0.294433594,6.706237793,24.6887207,-12.42828369,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.581054688,0.796875,0.288574219,8.583068848,14.84680176,-9.727478027,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.610839844,0.786621094,0.279785156,9.895324707,8.293151855,-6.744384766,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.655761719,0.76953125,0.264648438,10.94055176,3.829956055,-3.189086914,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.698242188,0.745117188,0.254882813,11.95526123,2.738952637,-0.16784668,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.723632813,0.729003906,0.255859375,12.44354248,6.172180176,1.945495605,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.734375,0.713867188,0.274902344,12.51220703,13.45825195,3.227233887,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.736816406,0.701660156,0.279296875,12.6953125,23.79608154,3.730773926,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.73046875,0.706542969,0.280761719,12.62664795,36.90338135,3.860473633,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.703125,0.700683594,0.304199219,12.65716553,48.61450195,3.967285156,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.634277344,0.6953125,0.301757813,12.86315918,54.30603027,4.104614258,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.609375,0.691894531,0.321289063,12.46643066,58.50982666,4.8828125,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.54296875,0.704589844,0.334472656,11.38305664,55.46569824,5.126953125,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.513183594,0.708496094,0.356933594,11.32202148,51.57470703,6.996154785,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
